127.0.0.1 - - [05/Oct/2016:10:24:36 +0530] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [05/Oct/2016:10:24:41 +0530] "GET /SpringDemo/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:10:24:45 +0530] "GET /SpringDemo/ HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [05/Oct/2016:10:30:21 +0530] "GET /SpringDemo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:10:30:21 +0530] "GET /SpringDemo/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:10:30:21 +0530] "GET /SpringDemo/ HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [05/Oct/2016:10:30:21 +0530] "GET /SampleWebApp/Css/Theme.css HTTP/1.1" 200 3673
0:0:0:0:0:0:0:1 - - [05/Oct/2016:10:30:21 +0530] "GET /SampleWebApp/Js/jquery.min.js HTTP/1.1" 200 97166
0:0:0:0:0:0:0:1 - - [05/Oct/2016:10:30:21 +0530] "GET /SampleWebApp/Js/Template.js HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [05/Oct/2016:10:30:21 +0530] "GET /SampleWebApp/Js/App.js HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [05/Oct/2016:10:30:21 +0530] "GET /SampleWebApp/Css/TemplateStyles.css HTTP/1.1" 200 2789
0:0:0:0:0:0:0:1 - - [05/Oct/2016:10:30:26 +0530] "GET /SpringDemo/UserList HTTP/1.1" 500 25766
0:0:0:0:0:0:0:1 - - [05/Oct/2016:10:30:41 +0530] "GET /SpringDemo/UserList HTTP/1.1" 200 2212
0:0:0:0:0:0:0:1 - - [05/Oct/2016:10:30:41 +0530] "GET /SampleWebApp/Js/App.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:10:30:41 +0530] "GET /SampleWebApp/Css/TemplateStyles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:10:30:41 +0530] "GET /SampleWebApp/Css/Theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:10:30:41 +0530] "GET /SampleWebApp/Js/Template.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:10:30:41 +0530] "GET /SampleWebApp/Js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:10:30:41 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Oct/2016:10:32:49 +0530] "GET /SpringDemo/UserAdd HTTP/1.1" 200 1682
0:0:0:0:0:0:0:1 - - [05/Oct/2016:10:32:54 +0530] "GET /SpringDemo/UserList HTTP/1.1" 200 2212
0:0:0:0:0:0:0:1 - - [05/Oct/2016:10:33:05 +0530] "GET /SpringDemo/index.jsp HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [05/Oct/2016:10:33:07 +0530] "GET /SpringDemo/UserList HTTP/1.1" 200 2212
